id,menu_name,menu_type_cd,provide_cd,menu_price,menu_overview
1001,Margherita,1,1,10,
1002,Marinara,1,1,10,
1003,Quattro Formaggi,1,1,10,
1004,Boscaiola,1,1,10,
1005,Siciliana,1,1,10,
1006,Pescatore,1,1,10,
1007,Genovese,1,1,10,
1008,Green tea,2,1,1,
1009,Black tea,2,1,1,
1010,Coffee,2,1,1,
1011,Coke,2,1,1,
1012,Beer,2,1,1,
1013,Oolong tea,2,1,1,
1014,Ginger ale,2,1,1,
1015,Chicken wings,2,1,1,
1016,Garlic bread,2,1,1,
1017,Fries,2,1,1,
1018,Pepperoni,3,1,1,
1019,Mushrooms,3,1,1,
1020,Bell peppers,3,1,1,
1021,Onions,3,1,1,
1022,Olives,3,1,1,
1023,Sausage,3,1,1,
1024,Monterey Jack cheese,3,1,1,
1025,Cheddar cheese,3,1,1,
1026,Tomatoes,3,1,1,
1027,Bacon,3,1,1,
