id,menu_name,menu_type_cd,provide_cd,menu_price,menu_overview
1,Margherita,1,1,10,
2,Marinara,1,1,10,
3,Quattro Formaggi,1,1,10,
4,Boscaiola,1,1,10,
5,Siciliana,1,1,10,
6,Pescatore,1,1,10,
7,Genovese,1,1,10,
8,Green tea,2,1,1,
9,Black tea,2,1,1,
10,Coffee,2,1,1,
11,Coke,2,1,1,
12,Beer,2,1,1,
13,Oolong tea,2,1,1,
14,Ginger ale,2,1,1,
15,Chicken wings,2,1,1,
16,Garlic bread,2,1,1,
17,Fries,2,1,1,
18,Pepperoni,3,1,1,
19,Mushrooms,3,1,1,
20,Bell peppers,3,1,1,
21,Onions,3,1,1,
22,Olives,3,1,1,
23,Sausage,3,1,1,
24,Monterey Jack cheese,3,1,1,
25,Cheddar cheese,3,1,1,
26,Tomatoes,3,1,1,
27,Bacon,3,1,1,
